obs_ID,root_ID,SampleId,RootName,Tube,Location,Date,Time,Session,DataGatherer,BirthSession,DeathSession,TotLength_mm,TotProjArea_mm2,TotSurfArea_mm2,TotAvgDiam_mm,TotVolume_mm3,Length_mm,ProjArea_mm2,SurfArea_mm2,AvgDiam_mm,Volume_mm3,TipDiam,TipLivStatus,HighestOrder,ExtPathLength,Altitude,root_status
2_1_33_R1,1_33_R1,BRUROOTSTUDY2020_T001_L033_2020.05.25_093914_002_SAS.jpg,R1,1,33,2020.05.25,93914,2,SAS,1,0,44.8058,8.6252,27.097,0.1925,1.7848,44.8058,8.6252,27.097,0.1925,1.7848,4.0653,A,1,158,16,Alive
3_1_33_R1,1_33_R1,BRUROOTSTUDY2020_T001_L033_2020.06.25_091211_003_SAS.jpg,R1,1,33,2020.06.25,91211,3,SAS,1,0,40.3148,8.0011,25.1362,0.19846999999999998,1.6592,40.3148,8.0011,25.1362,0.19846999999999998,1.6592,4.0653,A,1,108,15,Alive
5_1_27_R9,1_27_R9,BRUROOTSTUDY2020_T001_L027_2020.08.25_091839_005_SAS.jpg,R9,1,27,2020.08.25,91839,5,SAS,4,0,45.8236,17.7497,55.7622,0.38734999999999997,8.1581,45.8236,17.7497,55.7622,0.38734999999999997,8.1581,8.1306,A,2,128,17,Alive
6_1_2_R15,1_2_R15,BRUROOTSTUDY2020_T001_L002_2020.09.30_092658_006_SAS.jpg,R15,1,2,2020.09.30,92658,6,SAS,4,0,44.7237,17.0859,53.677,0.38203,7.2338,44.7237,17.0859,53.677,0.38203,7.2338,6.2335,A,2,247,39,Alive
6_1_27_R9,1_27_R9,BRUROOTSTUDY2020_T001_L027_2020.09.30_092903_006_SAS.jpg,R9,1,27,2020.09.30,92903,6,SAS,4,0,47.8679,19.0939,59.9854,0.39889,8.7315,47.8679,19.0939,59.9854,0.39889,8.7315,6.5045,A,2,139,17,Alive
7_1_2_R15,1_2_R15,BRUROOTSTUDY2020_T001_L002_2020.10.28_100238_007_SAS.jpg,R15,1,2,2020.10.28,100238,7,SAS,4,0,44.6012,17.0338,53.5133,0.38191,7.4447,44.6012,17.0338,53.5133,0.38191,7.4447,6.2335,A,2,251,39,Alive
7_1_13_R1,1_13_R1,BRUROOTSTUDY2020_T001_L013_2020.10.28_100342_007_SAS.jpg,R1,1,13,2020.10.28,100342,7,SAS,5,0,44.8922,13.5029,42.4205,0.30078,4.3646,44.8922,13.5029,42.4205,0.30078,4.3646,5.9624,A,1,297,33,Alive
7_1_14_R1,1_14_R1,BRUROOTSTUDY2020_T001_L014_2020.10.28_100347_007_SAS.jpg,R1,1,14,2020.10.28,100347,7,SAS,5,0,44.2102,14.0833,44.2441,0.31855,4.3632,44.2102,14.0833,44.2441,0.31855,4.3632,4.0653,A,2,249,29,Alive
7_1_27_R9,1_27_R9,BRUROOTSTUDY2020_T001_L027_2020.10.28_100452_007_SAS.jpg,R9,1,27,2020.10.28,100452,7,SAS,4,0,51.2632,15.971,50.1744,0.31155,5.6759,51.2632,15.971,50.1744,0.31155,5.6759,6.5045,A,3,189,19,Alive
8_1_2_R15,1_2_R15,BRUROOTSTUDY2020_T001_L002_2020.11.23_112641_008_SAS.jpg,R15,1,2,2020.11.23,112641,8,SAS,4,0,47.8777,14.1022,44.3032,0.29455,4.8765,45.7887,13.7348,43.1493,0.29996,4.8171,6.2335,A,2,300,40,Alive
8_1_13_R1,1_13_R1,BRUROOTSTUDY2020_T001_L013_2020.11.23_112723_008_SAS.jpg,R1,1,13,2020.11.23,112723,8,SAS,5,0,41.3401,9.7011,30.477,0.23467,2.3127,41.3401,9.7011,30.477,0.23467,2.3127,3.7943,A,1,258,33,Alive
