obs_ID,root_ID,SampleId,RootName,Tube,Location,Date,Time,Session,DataGatherer,BirthSession,DeathSession,TotLength_mm,TotProjArea_mm2,TotSurfArea_mm2,TotAvgDiam_mm,TotVolume_mm3,Length_mm,ProjArea_mm2,SurfArea_mm2,AvgDiam_mm,Volume_mm3,TipDiam,TipLivStatus,HighestOrder,ExtPathLength,Altitude,root_status
3_1_28_R1,1_28_R1,BRUROOTSTUDY2020_T001_L028_2020.06.25_091146_003_SAS.jpg,R1,1,28,2020.06.25,91146,3,SAS,1,0,1.9073,0.6819,2.1422,0.35752,0.2028,0.2317,0.1005,0.3157,0.43362999999999996,0.0342,4.3363,G,1,5,3,Alive
3_1_28_R1,1_28_R1,BRUROOTSTUDY2020_T001_L028_2020.06.25_091146_003_SAS.jpg,R1,1,28,2020.06.25,91146,3,SAS,1,0,1.9073,0.6819,2.1422,0.35752,0.2028,1.6755,0.5814,1.8265,0.34699,0.1686,4.3363,G,1,5,3,Gone
3_2_2_R8,2_2_R8,BRUROOTSTUDY2020_T002_L002_2020.06.25_091421_003_SAS.jpg,R8,2,2,2020.06.25,91421,3,SAS,2,0,2.2024,0.7722,2.426,0.35063,0.236,0.659,0.2857,0.8977,0.43362999999999996,0.0973,1.3551,D,1,6,4,Alive
3_2_2_R8,2_2_R8,BRUROOTSTUDY2020_T002_L002_2020.06.25_091421_003_SAS.jpg,R8,2,2,2020.06.25,91421,3,SAS,2,0,2.2024,0.7722,2.426,0.35063,0.236,1.5435,0.4865,1.5284,0.31518999999999997,0.1387,1.3551,D,1,6,4,Dead
3_2_3_R2,2_3_R2,BRUROOTSTUDY2020_T002_L003_2020.06.25_091426_003_SAS.jpg,R2,2,3,2020.06.25,91426,3,SAS,1,0,0.7405,0.1606,0.5044,0.21682,0.0273,0.7405,0.1606,0.5044,0.21682,0.0273,2.1682,A,0,1,1,Alive
3_2_3_R2,2_3_R2,BRUROOTSTUDY2020_T002_L003_2020.06.25_091426_003_SAS.jpg,R2,2,3,2020.06.25,91426,3,SAS,1,0,24.9416,5.6977,17.8999,0.22844000000000003,1.0891,24.9416,5.6977,17.8999,0.22844000000000003,1.0891,3.2522,A,2,74,22,Alive
3_20_8_R3,20_8_R3,BRUROOTSTUDY2020_T020_L008_2020.06.25_112644_003_SAS.jpg,R3,20,8,2020.06.25,112644,3,SAS,1,0,0.3325,0.0901,0.2831,0.27102,0.0192,0.3325,0.0901,0.2831,0.27102,0.0192,2.7102,A,0,1,1,Alive
3_20_8_R3,20_8_R3,BRUROOTSTUDY2020_T020_L008_2020.06.25_112644_003_SAS.jpg,R3,20,8,2020.06.25,112644,3,SAS,1,0,5.1982,1.3048,4.0993,0.25102,0.258,5.1982,1.3048,4.0993,0.25102,0.258,2.1682,A,0,10,10,Alive
3_22_28_R1,22_28_R1,BRUROOTSTUDY2020_T022_L028_2020.06.25_114143_003_SAS.jpg,R1,22,28,2020.06.25,114143,3,SAS,1,0,5.4638,0.5192,1.631,0.09502000000000001,0.0394,1.7926,0.1943,0.6105,0.10841,0.0165,1.0841,D,1,8,5,Alive
3_22_28_R1,22_28_R1,BRUROOTSTUDY2020_T022_L028_2020.06.25_114143_003_SAS.jpg,R1,22,28,2020.06.25,114143,3,SAS,1,0,5.4638,0.5192,1.631,0.09502000000000001,0.0394,3.6712,0.3248,1.0205,0.08848,0.0228,1.0841,D,1,8,5,Dead
3_23_27_R13,23_27_R13,BRUROOTSTUDY2020_T023_L027_2020.06.25_114709_003_SAS.jpg,R13,23,27,2020.06.25,114709,3,SAS,2,0,1.4048,0.3427,1.0765,0.24392,0.0656,1.4048,0.3427,1.0765,0.24392,0.0656,2.4392,A,0,2,2,Alive
3_23_27_R13,23_27_R13,BRUROOTSTUDY2020_T023_L027_2020.06.25_114709_003_SAS.jpg,R13,23,27,2020.06.25,114709,3,SAS,2,0,2.9131,0.6902,2.1683,0.23693,0.129,2.9131,0.6902,2.1683,0.23693,0.129,1.8971,A,0,7,7,Alive
3_24_22_R5,24_22_R5,BRUROOTSTUDY2020_T024_L022_2020.06.25_115204_003_SAS.jpg,R5,24,22,2020.06.25,115204,3,SAS,2,3,2.4559,0.5092,1.5997,0.20734,0.0836,1.3275,0.2878,0.9042,0.21682,0.049,2.1682,G,1,9,5,Dead
3_24_22_R5,24_22_R5,BRUROOTSTUDY2020_T024_L022_2020.06.25_115204_003_SAS.jpg,R5,24,22,2020.06.25,115204,3,SAS,2,3,2.4559,0.5092,1.5997,0.20734,0.0836,1.1284,0.2214,0.6956,0.19619999999999999,0.0345,2.1682,G,1,9,5,Gone
3_6_3_R22,6_3_R22,BRUROOTSTUDY2020_T006_L003_2020.06.25_093707_003_SAS.jpg,R22,6,3,2020.06.25,93707,3,SAS,2,0,3.4016,0.431,1.3541,0.12671,0.048,0.1205,0.0229,0.0718,0.18971,0.0034,1.8971,D,1,20,6,Alive
3_6_3_R22,6_3_R22,BRUROOTSTUDY2020_T006_L003_2020.06.25_093707_003_SAS.jpg,R22,6,3,2020.06.25,93707,3,SAS,2,0,3.4016,0.431,1.3541,0.12671,0.048,3.2811,0.4082,1.2823,0.1244,0.0446,1.8971,D,1,20,6,Dead
3_6_33_R2,6_33_R2,BRUROOTSTUDY2020_T006_L033_2020.06.25_093938_003_SAS.jpg,R2,6,33,2020.06.25,93938,3,SAS,2,3,11.6605,4.2565,13.3723,0.36504,1.313,7.5064,2.8456,8.9398,0.3791,0.8776,3.7943,A,1,42,12,Alive
3_6_33_R2,6_33_R2,BRUROOTSTUDY2020_T006_L033_2020.06.25_093938_003_SAS.jpg,R2,6,33,2020.06.25,93938,3,SAS,2,3,11.6605,4.2565,13.3723,0.36504,1.313,4.1541,1.4109,4.4325,0.33964,0.4355,3.7943,A,1,42,12,Gone
3_6_34_R1,6_34_R1,BRUROOTSTUDY2020_T006_L034_2020.06.25_093943_003_SAS.jpg,R1,6,34,2020.06.25,93943,3,SAS,2,3,27.1254,7.3489,23.0872,0.27092,1.8317,7.2704,1.578,4.9575,0.21705000000000002,0.3296,4.3363,A,1,84,13,Alive
3_6_34_R1,6_34_R1,BRUROOTSTUDY2020_T006_L034_2020.06.25_093943_003_SAS.jpg,R1,6,34,2020.06.25,93943,3,SAS,2,3,27.1254,7.3489,23.0872,0.27092,1.8317,19.855,5.7709,18.1297,0.29064999999999996,1.5021,4.3363,A,1,84,13,Gone
3_7_21_R3,7_21_R3,BRUROOTSTUDY2020_T007_L021_2020.06.25_094810_003_SAS.jpg,R3,7,21,2020.06.25,94810,3,SAS,1,0,1.2677,0.2061,0.6476,0.16261,0.0263,1.2677,0.2061,0.6476,0.16261,0.0263,1.6261,A,0,2,2,Alive
3_7_21_R3,7_21_R3,BRUROOTSTUDY2020_T007_L021_2020.06.25_094810_003_SAS.jpg,R3,7,21,2020.06.25,94810,3,SAS,1,3,11.6369,1.8923,5.9448,0.16261,0.2417,11.6369,1.8923,5.9448,0.16261,0.2417,1.6261,D,0,15,15,Dead
3_7_9_R3,7_9_R3,BRUROOTSTUDY2020_T007_L009_2020.06.25_094709_003_SAS.jpg,R3,7,9,2020.06.25,94709,3,SAS,1,0,0.4096,0.0777,0.2441,0.18971,0.0116,0.4096,0.0777,0.2441,0.18971,0.0116,1.8971,A,0,1,1,Alive
3_7_9_R3,7_9_R3,BRUROOTSTUDY2020_T007_L009_2020.06.25_094709_003_SAS.jpg,R3,7,9,2020.06.25,94709,3,SAS,1,0,3.9225,0.8417,2.6442,0.21458,0.1455,3.9225,0.8417,2.6442,0.21458,0.1455,2.7102,A,0,6,6,Alive
3_8_2_R13,8_2_R13,BRUROOTSTUDY2020_T008_L002_2020.06.25_095121_003_SAS.jpg,R13,8,2,2020.06.25,95121,3,SAS,3,0,1.0224,0.3602,1.1316,0.35233,0.0997,1.0224,0.3602,1.1316,0.35233,0.0997,3.5233,A,0,1,1,Alive
3_8_2_R13,8_2_R13,BRUROOTSTUDY2020_T008_L002_2020.06.25_095121_003_SAS.jpg,R13,8,2,2020.06.25,95121,3,SAS,2,0,1.7697,0.4317,1.3561,0.24392,0.0827,1.7697,0.4317,1.3561,0.24392,0.0827,2.4392,A,0,2,2,Alive
4_1_26_R3,1_26_R3,BRUROOTSTUDY2020_T001_L026_2020.07.29_091533_004_SAS.jpg,R3,1,26,2020.07.29,91533,4,SAS,1,0,3.4889,0.4308,1.3534,0.12347999999999999,0.0422,1.2682,0.1375,0.4319,0.10841,0.0117,1.3551,D,1,9,6,Alive
4_1_26_R3,1_26_R3,BRUROOTSTUDY2020_T001_L026_2020.07.29_091533_004_SAS.jpg,R3,1,26,2020.07.29,91533,4,SAS,1,0,3.4889,0.4308,1.3534,0.12347999999999999,0.0422,2.2207,0.2933,0.9215,0.13208999999999999,0.0305,1.3551,D,1,9,6,Dead
4_1_28_R1,1_28_R1,BRUROOTSTUDY2020_T001_L028_2020.07.29_091542_004_SAS.jpg,R1,1,28,2020.07.29,91542,4,SAS,1,0,1.9073,0.6819,2.1422,0.35752,0.2028,0.2317,0.1005,0.3157,0.43362999999999996,0.0342,4.3363,G,1,5,3,Alive
4_1_28_R1,1_28_R1,BRUROOTSTUDY2020_T001_L028_2020.07.29_091542_004_SAS.jpg,R1,1,28,2020.07.29,91542,4,SAS,1,0,1.9073,0.6819,2.1422,0.35752,0.2028,1.6755,0.5814,1.8265,0.34699,0.1686,4.3363,G,1,5,3,Gone
4_10_15_R5,10_15_R5,BRUROOTSTUDY2020_T010_L015_2020.07.29_103847_004_SAS.jpg,R5,10,15,2020.07.29,103847,4,SAS,1,0,17.3721,5.5172,17.3329,0.31759,1.4973,15.8264,5.2659,16.5433,0.33273,1.4652,3.7943,A,1,43,11,Alive
4_10_15_R5,10_15_R5,BRUROOTSTUDY2020_T010_L015_2020.07.29_103847_004_SAS.jpg,R5,10,15,2020.07.29,103847,4,SAS,1,0,17.3721,5.5172,17.3329,0.31759,1.4973,1.5456,0.2513,0.7896,0.16261,0.0321,3.7943,A,1,43,11,Gone
4_2_17_R1,2_17_R1,BRUROOTSTUDY2020_T002_L017_2020.07.29_092319_004_SAS.jpg,R1,2,17,2020.07.29,92319,4,SAS,1,0,5.8735,1.2071,3.7922,0.20552,0.1966,2.285,0.4954,1.5564,0.21682,0.0844,2.1682,D,1,10,7,Alive
4_2_17_R1,2_17_R1,BRUROOTSTUDY2020_T002_L017_2020.07.29_092319_004_SAS.jpg,R1,2,17,2020.07.29,92319,4,SAS,1,0,5.8735,1.2071,3.7922,0.20552,0.1966,3.5885,0.7117,2.2358,0.19832,0.1122,2.1682,D,1,10,7,Dead
4_2_3_R2,2_3_R2,BRUROOTSTUDY2020_T002_L003_2020.07.29_092202_004_SAS.jpg,R2,2,3,2020.07.29,92202,4,SAS,1,0,0.7405,0.1606,0.5044,0.21682,0.0273,0.7405,0.1606,0.5044,0.21682,0.0273,2.1682,A,0,1,1,Alive
4_2_3_R2,2_3_R2,BRUROOTSTUDY2020_T002_L003_2020.07.29_092202_004_SAS.jpg,R2,2,3,2020.07.29,92202,4,SAS,1,0,25.7131,5.8485,18.3736,0.22745,1.1116,25.7131,5.8485,18.3736,0.22745,1.1116,3.2522,A,2,73,21,Alive
4_20_40_R10,20_40_R10,BRUROOTSTUDY2020_T020_L040_2020.07.29_113951_004_SAS.jpg,R10,20,40,2020.07.29,113951,4,SAS,1,0,1.958,0.4899,1.539,0.2502,0.0965,1.958,0.4899,1.539,0.2502,0.0965,2.1682,A,0,2,2,Alive
4_20_40_R10,20_40_R10,BRUROOTSTUDY2020_T020_L040_2020.07.29_113951_004_SAS.jpg,R10,20,40,2020.07.29,113951,4,SAS,1,0,5.8956,1.3545,4.2552,0.22974,0.2462,5.8956,1.3545,4.2552,0.22974,0.2462,2.4392,A,0,7,7,Alive
4_20_8_R3,20_8_R3,BRUROOTSTUDY2020_T020_L008_2020.07.29_113710_004_SAS.jpg,R3,20,8,2020.07.29,113710,4,SAS,1,0,0.3325,0.0901,0.2831,0.27102,0.0192,0.3325,0.0901,0.2831,0.27102,0.0192,2.7102,A,0,1,1,Alive
4_20_8_R3,20_8_R3,BRUROOTSTUDY2020_T020_L008_2020.07.29_113710_004_SAS.jpg,R3,20,8,2020.07.29,113710,4,SAS,1,4,0.9031,0.2448,0.7689,0.27102,0.0521,0.9031,0.2448,0.7689,0.27102,0.0521,2.7102,D,0,1,1,Dead
4_23_27_R11,23_27_R11,BRUROOTSTUDY2020_T023_L027_2020.07.29_120019_004_SAS.jpg,R11,23,27,2020.07.29,120019,4,SAS,2,0,0.3241,0.0439,0.138,0.13551,0.0047,0.3241,0.0439,0.138,0.13551,0.0047,1.3551,A,0,1,1,Alive
4_23_27_R11,23_27_R11,BRUROOTSTUDY2020_T023_L027_2020.07.29_120019_004_SAS.jpg,R11,23,27,2020.07.29,120019,4,SAS,2,0,0.7377,0.1,0.314,0.13551,0.0106,0.7377,0.1,0.314,0.13551,0.0106,1.3551,A,0,2,2,Alive
4_23_27_R13,23_27_R13,BRUROOTSTUDY2020_T023_L027_2020.07.29_120019_004_SAS.jpg,R13,23,27,2020.07.29,120019,4,SAS,2,0,1.4048,0.3427,1.0765,0.24392,0.0656,1.4048,0.3427,1.0765,0.24392,0.0656,2.4392,A,0,2,2,Alive
4_23_27_R13,23_27_R13,BRUROOTSTUDY2020_T023_L027_2020.07.29_120019_004_SAS.jpg,R13,23,27,2020.07.29,120019,4,SAS,2,4,2.9131,0.6902,2.1683,0.23693,0.129,2.9131,0.6902,2.1683,0.23693,0.129,1.8971,D,0,7,7,Dead
4_6_3_R22,6_3_R22,BRUROOTSTUDY2020_T006_L003_2020.07.29_094541_004_SAS.jpg,R22,6,3,2020.07.29,94541,4,SAS,2,0,3.4016,0.431,1.3541,0.12671,0.048,0.1205,0.0229,0.0718,0.18971,0.0034,1.8971,D,1,20,6,Alive
4_6_3_R22,6_3_R22,BRUROOTSTUDY2020_T006_L003_2020.07.29_094541_004_SAS.jpg,R22,6,3,2020.07.29,94541,4,SAS,2,0,3.4016,0.431,1.3541,0.12671,0.048,3.2811,0.4082,1.2823,0.1244,0.0446,1.8971,D,1,20,6,Dead
4_7_21_R3,7_21_R3,BRUROOTSTUDY2020_T007_L021_2020.07.29_095926_004_SAS.jpg,R3,7,21,2020.07.29,95926,4,SAS,1,0,1.2677,0.2061,0.6476,0.16261,0.0263,1.2677,0.2061,0.6476,0.16261,0.0263,1.6261,A,0,2,2,Alive
4_7_21_R3,7_21_R3,BRUROOTSTUDY2020_T007_L021_2020.07.29_095926_004_SAS.jpg,R3,7,21,2020.07.29,95926,4,SAS,1,3,11.6369,1.8923,5.9448,0.16261,0.2417,11.6369,1.8923,5.9448,0.16261,0.2417,1.6261,D,0,15,15,Dead
4_7_9_R3,7_9_R3,BRUROOTSTUDY2020_T007_L009_2020.07.29_095755_004_SAS.jpg,R3,7,9,2020.07.29,95755,4,SAS,1,0,0.4096,0.0777,0.2441,0.18971,0.0116,0.4096,0.0777,0.2441,0.18971,0.0116,1.8971,A,0,1,1,Alive
4_7_9_R3,7_9_R3,BRUROOTSTUDY2020_T007_L009_2020.07.29_095755_004_SAS.jpg,R3,7,9,2020.07.29,95755,4,SAS,1,0,3.9225,0.8417,2.6442,0.21458,0.1455,3.9225,0.8417,2.6442,0.21458,0.1455,2.7102,A,0,6,6,Alive
4_8_2_R13,8_2_R13,BRUROOTSTUDY2020_T008_L002_2020.07.29_101119_004_SAS.jpg,R13,8,2,2020.07.29,101119,4,SAS,3,0,1.9827,0.9135,2.8698,0.46073000000000003,0.3306,1.9827,0.9135,2.8698,0.46073000000000003,0.3306,5.6914,A,0,1,1,Alive
4_8_2_R13,8_2_R13,BRUROOTSTUDY2020_T008_L002_2020.07.29_101119_004_SAS.jpg,R13,8,2,2020.07.29,101119,4,SAS,2,0,1.7697,0.4317,1.3561,0.24392,0.0827,1.7697,0.4317,1.3561,0.24392,0.0827,2.4392,A,0,2,2,Alive
4_9_23_R9,9_23_R9,BRUROOTSTUDY2020_T009_L023_2020.07.29_101721_004_SAS.jpg,R9,9,23,2020.07.29,101721,4,SAS,1,0,2.21,0.2396,0.7527,0.10841,0.0204,1.0216,0.1108,0.3479,0.10841,0.0094,1.0841,A,1,8,5,Alive
4_9_23_R9,9_23_R9,BRUROOTSTUDY2020_T009_L023_2020.07.29_101721_004_SAS.jpg,R9,9,23,2020.07.29,101721,4,SAS,1,0,2.21,0.2396,0.7527,0.10841,0.0204,1.1884,0.1288,0.4047,0.10841,0.011,1.0841,A,1,8,5,Gone
5_1_1_R5,1_1_R5,BRUROOTSTUDY2020_T001_L001_2020.08.27_094417_005_SAS.jpg,R5,1,1,2020.08.27,94417,5,SAS,2,0,16.956,7.8307,24.6007,0.46182,3.0359,5.5571,1.6984,5.3358,0.30562999999999996,0.4267,5.1494,G,1,13,7,Alive
5_1_1_R5,1_1_R5,BRUROOTSTUDY2020_T001_L001_2020.08.27_094417_005_SAS.jpg,R5,1,1,2020.08.27,94417,5,SAS,2,0,16.956,7.8307,24.6007,0.46182,3.0359,11.3989,6.1322,19.265,0.53796,2.6092,5.1494,G,1,13,7,Gone
5_1_28_R1,1_28_R1,BRUROOTSTUDY2020_T001_L028_2020.08.25_091844_005_SAS.jpg,R1,1,28,2020.08.25,91844,5,SAS,1,0,1.9073,0.6819,2.1422,0.35752,0.2028,0.2317,0.1005,0.3157,0.43362999999999996,0.0342,4.3363,G,1,5,3,Alive
5_1_28_R1,1_28_R1,BRUROOTSTUDY2020_T001_L028_2020.08.25_091844_005_SAS.jpg,R1,1,28,2020.08.25,91844,5,SAS,1,0,1.9073,0.6819,2.1422,0.35752,0.2028,1.6755,0.5814,1.8265,0.34699,0.1686,4.3363,G,1,5,3,Gone
5_10_15_R5,10_15_R5,BRUROOTSTUDY2020_T010_L015_2020.08.27_101330_005_SAS.jpg,R5,10,15,2020.08.27,101330,5,SAS,1,0,15.8483,4.9749,15.6293,0.31391,1.3402,14.3027,4.7236,14.8397,0.33026,1.3081,3.7943,A,1,42,11,Alive
5_10_15_R5,10_15_R5,BRUROOTSTUDY2020_T010_L015_2020.08.27_101330_005_SAS.jpg,R5,10,15,2020.08.27,101330,5,SAS,1,0,15.8483,4.9749,15.6293,0.31391,1.3402,1.5456,0.2513,0.7896,0.16261,0.0321,3.7943,A,1,42,11,Gone
5_10_36_R18,10_36_R18,BRUROOTSTUDY2020_T010_L036_2020.08.27_101454_005_SAS.jpg,R18,10,36,2020.08.27,101454,5,SAS,5,0,3.666,1.4718,4.6239,0.40149,0.4802,3.666,1.4718,4.6239,0.40149,0.4802,0.542,A,0,5,5,Alive
5_10_36_R18,10_36_R18,BRUROOTSTUDY2020_T010_L036_2020.08.27_101454_005_SAS.jpg,R18,10,36,2020.08.27,101454,5,SAS,4,0,5.4754,1.0623,3.3374,0.19402,0.1622,5.4754,1.0623,3.3374,0.19402,0.1622,1.8971,A,0,8,8,Alive
5_10_39_R1,10_39_R1,BRUROOTSTUDY2020_T010_L039_2020.08.27_101513_005_SAS.jpg,R1,10,39,2020.08.27,101513,5,SAS,1,0,7.2019,1.9518,6.1319,0.27102,0.4155,7.2019,1.9518,6.1319,0.27102,0.4155,2.7102,A,0,7,7,Alive
5_10_39_R1,10_39_R1,BRUROOTSTUDY2020_T010_L039_2020.08.27_101513_005_SAS.jpg,R1,10,39,2020.08.27,101513,5,SAS,1,4,0.396,0.1073,0.3372,0.27102,0.0228,0.396,0.1073,0.3372,0.27102,0.0228,2.7102,D,0,1,1,Dead
5_2_13_R1,2_13_R1,BRUROOTSTUDY2020_T002_L013_2020.08.25_092218_005_SAS.jpg,R1,2,13,2020.08.25,92218,5,SAS,1,0,7.3334,1.7604,5.5304,0.24005,0.3902,0.3241,0.1054,0.3311,0.32522,0.0269,1.6261,D,2,22,8,Alive
5_2_13_R1,2_13_R1,BRUROOTSTUDY2020_T002_L013_2020.08.25_092218_005_SAS.jpg,R1,2,13,2020.08.25,92218,5,SAS,1,0,7.3334,1.7604,5.5304,0.24005,0.3902,7.0093,1.655,5.1993,0.23611,0.3633,1.6261,D,2,22,8,Dead
5_2_26_R6,2_26_R6,BRUROOTSTUDY2020_T002_L026_2020.08.25_092325_005_SAS.jpg,R6,2,26,2020.08.25,92325,5,SAS,4,0,0.8962,0.1214,0.3815,0.13551,0.0129,0.8962,0.1214,0.3815,0.13551,0.0129,1.6261,A,0,1,1,Alive
5_2_26_R6,2_26_R6,BRUROOTSTUDY2020_T002_L026_2020.08.25_092325_005_SAS.jpg,R6,2,26,2020.08.25,92325,5,SAS,4,0,47.0145,7.6537,24.0448,0.16279,1.0184,47.0145,7.6537,24.0448,0.16279,1.0184,1.8971,A,2,249,43,Alive
5_2_3_R2,2_3_R2,BRUROOTSTUDY2020_T002_L003_2020.08.25_092127_005_SAS.jpg,R2,2,3,2020.08.25,92127,5,SAS,1,0,0.7405,0.1606,0.5044,0.21682,0.0273,0.7405,0.1606,0.5044,0.21682,0.0273,2.1682,A,0,1,1,Alive
5_2_3_R2,2_3_R2,BRUROOTSTUDY2020_T002_L003_2020.08.25_092127_005_SAS.jpg,R2,2,3,2020.08.25,92127,5,SAS,1,0,11.1737,2.3753,7.4622,0.21258,0.4426,11.1737,2.3753,7.4622,0.21258,0.4426,0.542,A,1,27,14,Alive
5_20_40_R10,20_40_R10,BRUROOTSTUDY2020_T020_L040_2020.08.27_110510_005_SAS.jpg,R10,20,40,2020.08.27,110510,5,SAS,1,0,1.958,0.4899,1.539,0.2502,0.0965,1.958,0.4899,1.539,0.2502,0.0965,2.1682,A,0,2,2,Alive
5_20_40_R10,20_40_R10,BRUROOTSTUDY2020_T020_L040_2020.08.27_110510_005_SAS.jpg,R10,20,40,2020.08.27,110510,5,SAS,1,0,4.0236,0.9586,3.0115,0.23824,0.1802,4.0236,0.9586,3.0115,0.23824,0.1802,2.4392,A,0,6,6,Alive
5_20_8_R3,20_8_R3,BRUROOTSTUDY2020_T020_L008_2020.08.27_110308_005_SAS.jpg,R3,20,8,2020.08.27,110308,5,SAS,1,0,0.3325,0.0901,0.2831,0.27102,0.0192,0.3325,0.0901,0.2831,0.27102,0.0192,2.7102,A,0,1,1,Alive
5_20_8_R3,20_8_R3,BRUROOTSTUDY2020_T020_L008_2020.08.27_110308_005_SAS.jpg,R3,20,8,2020.08.27,110308,5,SAS,1,4,0.9031,0.2448,0.7689,0.27102,0.0521,0.9031,0.2448,0.7689,0.27102,0.0521,2.7102,D,0,1,1,Dead
5_22_5_R10,22_5_R10,BRUROOTSTUDY2020_T022_L005_2020.08.27_111401_005_SAS.jpg,R10,22,5,2020.08.27,111401,5,SAS,1,0,3.1056,0.814,2.5572,0.2621,0.17,0.1347,0.0402,0.1261,0.29812,0.0094,2.9812,D,1,8,5,Alive
5_22_5_R10,22_5_R10,BRUROOTSTUDY2020_T022_L005_2020.08.27_111401_005_SAS.jpg,R10,22,5,2020.08.27,111401,5,SAS,1,0,3.1056,0.814,2.5572,0.2621,0.17,2.9709,0.7738,2.431,0.26047,0.1606,2.9812,D,1,8,5,Dead
5_23_27_R11,23_27_R11,BRUROOTSTUDY2020_T023_L027_2020.08.27_111922_005_SAS.jpg,R11,23,27,2020.08.27,111922,5,SAS,2,0,0.3241,0.0439,0.138,0.13551,0.0047,0.3241,0.0439,0.138,0.13551,0.0047,1.3551,A,0,1,1,Alive
5_23_27_R11,23_27_R11,BRUROOTSTUDY2020_T023_L027_2020.08.27_111922_005_SAS.jpg,R11,23,27,2020.08.27,111922,5,SAS,2,5,0.7377,0.1,0.314,0.13551,0.0106,0.7377,0.1,0.314,0.13551,0.0106,1.3551,D,0,2,2,Dead
5_23_27_R13,23_27_R13,BRUROOTSTUDY2020_T023_L027_2020.08.27_111922_005_SAS.jpg,R13,23,27,2020.08.27,111922,5,SAS,2,0,1.4048,0.3427,1.0765,0.24392,0.0656,1.4048,0.3427,1.0765,0.24392,0.0656,2.4392,A,0,2,2,Alive
5_23_27_R13,23_27_R13,BRUROOTSTUDY2020_T023_L027_2020.08.27_111922_005_SAS.jpg,R13,23,27,2020.08.27,111922,5,SAS,2,4,2.9131,0.6902,2.1683,0.23693,0.129,2.9131,0.6902,2.1683,0.23693,0.129,1.8971,D,0,7,7,Dead
