obs_ID,root_ID,SampleId,RootName,Tube,Location,Date,Time,Session,DataGatherer,BirthSession,DeathSession,TotLength_mm,TotProjArea_mm2,TotSurfArea_mm2,TotAvgDiam_mm,TotVolume_mm3,Length_mm,ProjArea_mm2,SurfArea_mm2,AvgDiam_mm,Volume_mm3,TipDiam,TipLivStatus,HighestOrder,ExtPathLength,Altitude,root_status
2_1_28_R1,1_28_R1,BRUROOTSTUDY2020_T001_L028_2020.05.25_093849_002_SAS.jpg,R1,1,28,2020.05.25,93849,2,SAS,1,0,1.9073,0.6819,2.1422,0.35752,0.2028,0.2317,0.1005,0.3157,0.43362999999999996,0.0342,4.3363,G,1,5,3,Alive
2_1_28_R1,1_28_R1,BRUROOTSTUDY2020_T001_L028_2020.05.25_093849_002_SAS.jpg,R1,1,28,2020.05.25,93849,2,SAS,1,0,1.9073,0.6819,2.1422,0.35752,0.2028,1.6755,0.5814,1.8265,0.34699,0.1686,4.3363,G,1,5,3,Gone
2_20_8_R3,20_8_R3,BRUROOTSTUDY2020_T020_L008_2020.05.25_113157_002_SAS.jpg,R3,20,8,2020.05.25,113157,2,SAS,1,0,0.3325,0.0901,0.2831,0.27102,0.0192,0.3325,0.0901,0.2831,0.27102,0.0192,2.7102,A,0,1,1,Alive
2_20_8_R3,20_8_R3,BRUROOTSTUDY2020_T020_L008_2020.05.25_113157_002_SAS.jpg,R3,20,8,2020.05.25,113157,2,SAS,1,0,6.504,1.4661,4.606,0.22542,0.2744,6.504,1.4661,4.606,0.22542,0.2744,2.1682,A,1,19,10,Alive
2_5_5_R12,5_5_R12,BRUROOTSTUDY2020_T005_L005_2020.05.25_100200_002_SAS.jpg,R12,5,5,2020.05.25,100200,2,SAS,1,0,5.6936,1.0687,3.3575,0.18771,0.1629,1.7153,0.2563,0.8052,0.14942,0.0322,1.8971,D,1,10,7,Alive
2_5_5_R12,5_5_R12,BRUROOTSTUDY2020_T005_L005_2020.05.25_100200_002_SAS.jpg,R12,5,5,2020.05.25,100200,2,SAS,1,0,5.6936,1.0687,3.3575,0.18771,0.1629,3.9783,0.8124,2.5524,0.20421999999999998,0.1307,1.8971,D,1,10,7,Dead
2_7_21_R3,7_21_R3,BRUROOTSTUDY2020_T007_L021_2020.05.25_101515_002_SAS.jpg,R3,7,21,2020.05.25,101515,2,SAS,1,0,1.2677,0.2061,0.6476,0.16261,0.0263,1.2677,0.2061,0.6476,0.16261,0.0263,1.6261,A,0,2,2,Alive
2_7_21_R3,7_21_R3,BRUROOTSTUDY2020_T007_L021_2020.05.25_101515_002_SAS.jpg,R3,7,21,2020.05.25,101515,2,SAS,1,0,11.6369,1.8923,5.9448,0.16261,0.2417,11.6369,1.8923,5.9448,0.16261,0.2417,1.6261,A,0,15,15,Alive
3_1_26_R3,1_26_R3,BRUROOTSTUDY2020_T001_L026_2020.06.25_091136_003_SAS.jpg,R3,1,26,2020.06.25,91136,3,SAS,1,0,3.4889,0.4308,1.3534,0.12347999999999999,0.0422,1.2682,0.1375,0.4319,0.10841,0.0117,1.3551,D,1,9,6,Alive
3_1_26_R3,1_26_R3,BRUROOTSTUDY2020_T001_L026_2020.06.25_091136_003_SAS.jpg,R3,1,26,2020.06.25,91136,3,SAS,1,0,3.4889,0.4308,1.3534,0.12347999999999999,0.0422,2.2207,0.2933,0.9215,0.13208999999999999,0.0305,1.3551,D,1,9,6,Dead
